date,low,high,average,open,close,daily_avg
2025-02-03,2.185,3.037,2.9655,2.939,2.992,2.6109999999999998
2025-02-04,2.652,3.014,2.899,2.992,2.806,2.833
2025-02-05,2.664,2.882,2.7635,2.806,2.721,2.773
2025-02-06,2.555,2.809,2.6550000000000002,2.721,2.589,2.6820000000000004
2025-02-07,2.561,2.883,2.63,2.589,2.671,2.722
2025-02-08,2.623,2.795,2.7024999999999997,2.671,2.734,2.709
2025-02-09,2.582,2.858,2.734,2.734,2.734,2.7199999999999998
2025-02-10,2.658,2.951,2.8185000000000002,2.734,2.903,2.8045
2025-02-11,2.818,3.064,2.8979999999999997,2.903,2.893,2.941
2025-02-12,2.72,3.136,2.9715,2.893,3.05,2.928
2025-02-13,2.882,3.11,2.9995,3.05,2.949,2.996
2025-02-14,2.928,3.24,3.0395,2.949,3.13,3.084
2025-02-15,2.949,3.243,3.0620000000000003,3.13,2.994,3.096
2025-02-16,2.867,3.04,2.9450000000000003,2.994,2.896,2.9535
2025-02-17,2.837,3.089,2.927,2.896,2.958,2.963
2025-02-18,2.735,2.976,2.918,2.958,2.878,2.8555
2025-02-19,2.838,2.975,2.9074999999999998,2.878,2.937,2.9065000000000003
2025-02-20,2.909,3.074,2.9965,2.937,3.056,2.9915
2025-02-21,2.825,3.189,2.9690000000000003,3.056,2.882,3.007
2025-02-22,2.836,2.997,2.9095,2.882,2.937,2.9165
2025-02-23,2.897,3.016,2.9385,2.937,2.94,2.9565
2025-02-24,2.446,2.996,2.7115,2.94,2.483,2.721
2025-02-25,2.283,2.624,2.532,2.483,2.581,2.4535
2025-02-26,2.464,2.646,2.585,2.581,2.589,2.5549999999999997
2025-02-27,2.533,2.731,2.6135,2.589,2.638,2.6319999999999997
2025-02-28,2.383,2.702,2.651,2.638,2.664,2.5425
2025-03-01,2.485,2.68,2.6135,2.664,2.563,2.5825
2025-03-02,2.489,2.848,2.677,2.563,2.791,2.6685
2025-03-03,2.283,2.804,2.5645,2.791,2.338,2.5435
2025-03-04,2.042,2.357,2.2735000000000003,2.338,2.209,2.1995
2025-03-05,2.163,2.313,2.234,2.209,2.259,2.238
2025-03-06,2.142,2.328,2.2115,2.259,2.164,2.235
2025-03-07,2.034,2.199,2.125,2.164,2.086,2.1165
2025-03-08,2.041,2.12,2.0919999999999996,2.086,2.098,2.0805
2025-03-09,1.699,2.098,1.9284999999999999,2.098,1.759,1.8984999999999999
2025-03-10,1.564,1.873,1.6804999999999999,1.759,1.602,1.7185000000000001
2025-03-11,1.483,1.749,1.637,1.602,1.672,1.616
2025-03-12,1.623,1.874,1.7395,1.672,1.807,1.7485
2025-03-13,1.649,1.843,1.7645,1.807,1.722,1.746
2025-03-14,1.702,1.8,1.744,1.722,1.766,1.751
2025-03-15,1.766,2.358,2.0164999999999997,1.766,2.267,2.0620000000000003
2025-03-16,2.218,2.736,2.2685,2.267,2.27,2.4770000000000003
2025-03-17,2.27,2.525,2.3475,2.27,2.425,2.3975
2025-03-18,2.249,2.427,2.4175,2.425,2.41,2.338
2025-03-19,2.275,2.622,2.465,2.41,2.52,2.4485
2025-03-20,2.407,2.739,2.5785,2.52,2.637,2.573
2025-03-21,2.608,3.361,2.916,2.637,3.195,2.9845
2025-03-22,3.034,3.675,3.2575,3.195,3.32,3.3545
2025-03-23,2.849,3.32,3.093,3.32,2.866,3.0845000000000002
2025-03-24,2.758,2.992,2.854,2.866,2.842,2.875
2025-03-25,2.746,3.08,2.9370000000000003,2.842,3.032,2.9130000000000003
2025-03-26,2.891,3.236,3.0090000000000003,3.032,2.986,3.0635000000000003
2025-03-27,2.946,3.408,3.056,2.986,3.126,3.177
2025-03-28,2.829,3.228,2.9859999999999998,3.126,2.846,3.0285
2025-03-29,2.528,2.899,2.6955,2.846,2.545,2.7135
2025-03-30,2.525,2.936,2.691,2.545,2.837,2.7305
2025-03-31,2.622,3.03,2.822,2.837,2.807,2.8259999999999996
2025-04-01,2.718,2.869,2.816,2.807,2.825,2.7935
2025-04-02,2.66,3.041,2.7725,2.825,2.72,2.8505000000000003
2025-04-03,2.435,2.865,2.7735000000000003,2.72,2.827,2.6500000000000004
2025-04-04,2.797,3.101,2.9355,2.827,3.044,2.949
2025-04-05,2.956,3.097,3.029,3.044,3.014,3.0265
2025-04-06,2.509,3.168,2.7664999999999997,3.014,2.519,2.8385
2025-04-07,2.319,2.77,2.5435,2.519,2.568,2.5445
2025-04-08,2.251,2.625,2.4165,2.568,2.265,2.4379999999999997
2025-04-09,2.167,2.632,2.4425,2.265,2.62,2.3994999999999997
2025-04-10,2.356,2.624,2.5135,2.62,2.407,2.49
2025-04-11,2.401,2.613,2.4775,2.407,2.548,2.5069999999999997
2025-04-12,2.504,2.716,2.6029999999999998,2.548,2.658,2.6100000000000003
2025-04-13,2.37,2.659,2.535,2.658,2.412,2.5145
2025-04-14,2.398,2.597,2.45,2.412,2.488,2.4975
2025-04-15,2.425,2.66,2.46,2.488,2.432,2.5425
2025-04-16,2.312,2.508,2.4,2.432,2.368,2.41
2025-04-17,2.268,2.56,2.402,2.368,2.436,2.4139999999999997
2025-04-18,2.386,2.454,2.4225,2.436,2.409,2.42
2025-04-19,2.395,2.519,2.4535,2.409,2.498,2.457
2025-04-20,2.439,2.607,2.5325,2.498,2.567,2.523
2025-04-21,2.476,2.64,2.529,2.567,2.491,2.558
2025-04-22,2.374,2.726,2.596,2.491,2.701,2.55
2025-04-23,2.631,2.787,2.7355,2.701,2.77,2.7089999999999996
2025-04-24,2.616,2.817,2.786,2.77,2.802,2.7165
2025-04-25,2.725,2.938,2.8365,2.802,2.871,2.8315
2025-04-26,2.871,3.156,2.9255,2.871,2.98,3.0135
2025-04-27,2.786,2.998,2.9175,2.98,2.855,2.8920000000000003
2025-04-28,2.771,3.105,2.926,2.855,2.997,2.9379999999999997
2025-04-29,2.871,3.01,2.956,2.997,2.915,2.9405
2025-04-30,2.666,2.938,2.8495,2.915,2.784,2.802
2025-05-01,2.752,2.898,2.779,2.784,2.774,2.825
2025-05-02,2.683,2.828,2.7475,2.774,2.721,2.7554999999999996
2025-05-03,2.489,2.724,2.6105,2.721,2.5,2.6065
2025-05-04,2.42,2.518,2.474,2.5,2.448,2.469
2025-05-05,2.424,2.551,2.471,2.448,2.494,2.4875
2025-05-06,2.329,2.527,2.4675000000000002,2.494,2.441,2.428
